name,position,minutes_played,passes_completed,passes_total,shots,xg,ball_recoveries,pressures,dribbles_won,passes_completed_p90,passes_total_p90,shots_p90,xg_p90,ball_recoveries_p90,pressures_p90,dribbles_won_p90
Aarón Escandell Banacloche,Goalkeeper,94,10.0,28.0,0.0,0.0,4.0,0.0,0.0,9.57,26.81,0.0,0.0,3.83,0.0,0.0
Aarón Martín Caricol,Left Back,459,105.0,147.0,0.0,0.0,10.0,76.0,2.0,20.59,28.82,0.0,0.0,1.96,14.9,0.39
Abdallahi Mohamed Mahmoud,Left Center Midfield,91,4.0,4.0,0.0,0.0,1.0,5.0,1.0,3.96,3.96,0.0,0.0,0.99,4.95,0.99
Abdelaziz Barrada,Center Attacking Midfield,251,58.0,77.0,1.0,0.038847614,7.0,43.0,6.0,20.8,27.61,0.36,0.01,2.51,15.42,2.15
Abdelkader Mohamed Ghezzal,Left Wing,92,5.0,5.0,1.0,0.0729426,0.0,3.0,0.0,4.89,4.89,0.98,0.07,0.0,2.93,0.0
Abdoul Karim Yoda,Left Back,1710,400.0,539.0,8.0,0.830658769,69.0,190.0,42.0,21.05,28.37,0.42,0.04,3.63,10.0,2.21
Abdoulay Konko,Right Back,157,52.0,67.0,0.0,0.0,8.0,41.0,0.0,29.81,38.41,0.0,0.0,4.59,23.5,0.0
Abdoulaye Ba,Right Center Back,134,30.0,45.0,1.0,0.09395453,4.0,15.0,0.0,20.15,30.22,0.67,0.06,2.69,10.07,0.0
Abdoulaye Doucouré,Left Defensive Midfield,1335,482.0,577.0,10.0,0.759715562,101.0,286.0,10.0,32.49,38.9,0.67,0.05,6.81,19.28,0.67
Abdón Prats Bastidas,Left Center Forward,185,3.0,3.0,1.0,0.06299314,1.0,6.0,0.0,1.46,1.46,0.49,0.03,0.49,2.92,0.0
Abel Enrique Aguilar Tapia,Left Center Midfield,453,152.0,188.0,0.0,0.0,35.0,187.0,7.0,30.2,37.35,0.0,0.0,6.95,37.15,1.39
Abel Gómez Moreno,Center Attacking Midfield,271,41.0,54.0,2.0,0.27879322,4.0,27.0,1.0,13.62,17.93,0.66,0.09,1.33,8.97,0.33
Abel Ruiz Ortega,Left Center Forward,93,9.0,12.0,1.0,0.31623295,1.0,3.0,2.0,8.71,11.61,0.97,0.31,0.97,2.9,1.94
Abraham González Casanova,Left Center Midfield,1872,464.0,593.0,16.0,2.8344165205,67.0,243.0,3.0,22.31,28.51,0.77,0.14,3.22,11.68,0.14
Abraham Minero Fernández,Left Wing Back,226,28.0,39.0,0.0,0.0,1.0,38.0,1.0,11.15,15.53,0.0,0.0,0.4,15.13,0.4
Abraham Paz Cruz,Right Center Back,92,9.0,14.0,1.0,0.3343148,2.0,3.0,2.0,8.8,13.7,0.98,0.33,1.96,2.93,1.96
Achille Emaná Edzimbi,Center Attacking Midfield,132,29.0,43.0,4.0,0.300657538,11.0,39.0,2.0,19.77,29.32,2.73,0.2,7.5,26.59,1.36
Adalberto Peñaranda Maestre,Right Center Forward,1998,304.0,420.0,23.0,1.9198056825,76.0,434.0,44.0,13.69,18.92,1.04,0.09,3.42,19.55,1.98
Aderllan Leandro de Jesus Santos,Left Center Back,1542,545.0,657.0,8.0,1.080424582,53.0,170.0,8.0,31.81,38.35,0.47,0.06,3.09,9.92,0.47
Adil Rami,Right Center Back,2977,1044.0,1325.0,20.0,1.905893765,142.0,184.0,6.0,31.56,40.06,0.6,0.06,4.29,5.56,0.18
Adnan Januzaj,Right Midfield,389,47.0,63.0,6.0,0.250309666,8.0,32.0,6.0,10.87,14.58,1.39,0.06,1.85,7.4,1.39
Adnane Tighadouini,Center Attacking Midfield,838,88.0,146.0,15.0,0.823751483,22.0,48.0,16.0,9.45,15.68,1.61,0.09,2.36,5.16,1.72
Adriano Correia Claro,Left Back,9367,5123.0,5893.0,85.0,4.6477001889,436.0,969.0,117.0,49.22,56.62,0.82,0.04,4.19,9.31,1.12
Adriano Ferreira Martins,Right Wing,91,5.0,7.0,0.0,0.0,0.0,8.0,1.0,4.95,6.92,0.0,0.0,0.0,7.91,0.99
Adrián Colunga Pérez,Center Forward,355,46.0,74.0,5.0,0.566464174,5.0,41.0,1.0,11.66,18.76,1.27,0.14,1.27,10.39,0.25
Adrián Embarba Blázquez,Right Wing,2547,497.0,792.0,43.0,3.7374504306,114.0,384.0,32.0,17.56,27.99,1.52,0.13,4.03,13.57,1.13
Adrián González Morales,Center Attacking Midfield,3493,951.0,1315.0,58.0,5.319812918,154.0,559.0,16.0,24.5,33.88,1.49,0.14,3.97,14.4,0.41
Adrián Javier Gunino Duque,Right Back,91,13.0,17.0,0.0,0.0,0.0,14.0,0.0,12.86,16.81,0.0,0.0,0.0,13.85,0.0
Adrián López Rodríguez,Right Center Back,175,20.0,32.0,0.0,0.0,4.0,17.0,0.0,10.29,16.46,0.0,0.0,2.06,8.74,0.0
Adrián López Álvarez,Left Center Forward,2333,416.0,605.0,18.0,4.643964451,55.0,233.0,23.0,16.05,23.34,0.69,0.18,2.12,8.99,0.89
Adrián Marín Gómez,Left Back,1380,446.0,584.0,2.0,0.157801216,54.0,155.0,9.0,29.09,38.09,0.13,0.01,3.52,10.11,0.59
Adrián San Miguel del Castillo,Goalkeeper,183,29.0,56.0,0.0,0.0,11.0,0.0,0.0,14.26,27.54,0.0,0.0,5.41,0.0,0.0
Adrián Sardinero Corpa,Center Forward,92,3.0,5.0,0.0,0.0,2.0,5.0,0.0,2.93,4.89,0.0,0.0,1.96,4.89,0.0
Ager Aketxe Barrutia,Left Wing,249,70.0,95.0,4.0,0.169452501,6.0,30.0,1.0,25.3,34.34,1.45,0.06,2.17,10.84,0.36
Agustín Aranzábal Alkorta,Center Attacking Midfield,91,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.99,2.97,0.0,0.0,0.0,0.99,0.0
Aihen Muñoz Capellán,Left Back,93,45.0,60.0,0.0,0.0,3.0,16.0,0.0,43.55,58.06,0.0,0.0,2.9,15.48,0.0
Aitor Fernández Abarisketa,Goalkeeper,459,110.0,146.0,0.0,0.0,19.0,4.0,0.0,21.57,28.63,0.0,0.0,3.73,0.78,0.0
Aitor López Rekarte,Left Wing,147,17.0,23.0,0.0,0.0,1.0,26.0,0.0,10.41,14.08,0.0,0.0,0.61,15.92,0.0
Aitor Ocio Carrión,Right Center Back,210,51.0,62.0,2.0,0.099778825,7.0,14.0,0.0,21.86,26.57,0.86,0.04,3.0,6.0,0.0
Aitor Ramos Leniz,Center Forward,91,12.0,18.0,1.0,0.025347976,0.0,7.0,0.0,11.87,17.8,0.99,0.03,0.0,6.92,0.0
